name,streams
God's Plan,1091390261
SAD!,718339780
Psycho (feat. Ty Dolla $ign),674883035
In My Feelings,668866531
Better Now,642359289
I Like It,638253020
One Kiss (with Dua Lipa),630266723
IDGAF,594178550
FRIENDS,576837229
Havana,572088899
Lucid Dreams,557866373
Girls Like You (feat. Cardi B),548417971
Nice For What,545689955
The Middle,540482101
Happier,537655535
no tears left to cry,493132453
Look Alive (feat. Drake),478127930
X,473667608
All The Stars (with SZA),473155806
Moonlight,473036923
Te Boté - Remix,468836938
Shape of You,461130168
New Rules,459769274
Youngblood,456074652
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",453193422
Meant to Be (feat. Florida Georgia Line),440262628
Love Lies (with Normani),438666428
Taste (feat. Offset),434112635
Perfect,432305816
Mine,430859300
Solo (feat. Demi Lovato),425037063
Jocelyn Flores,422966349
I Fall Apart,400708254
Eastside (with Halsey & Khalid),385474408
rockstar (feat. 21 Savage),376582845
SICKO MODE,366510824
In My Mind,359887450
Nevermind,359733585
Thunder,351914166
Jackie Chan,350571686
changes,343718355
Wolves,343285250
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",340504774
rockstar,340482728
Échame La Culpa,339514670
Me Niego,332540769
Too Good At Goodbyes,332170500
Believer,330791010
FEFE (feat. Nicki Minaj & Murda Beatz),330660192
Ric Flair Drip (& Metro Boomin),326130316
XO TOUR Llif3,324404162
Rise,323655480
Sin Pijama,320601214
Never Be the Same,319048082
Nonstop,318834731
Dura,317586973
2002,316426558
Call Out My Name,309395978
In My Blood,299216290
God is a woman,298276452
River (feat. Ed Sheeran),292545256
Fuck Love (feat. Trippie Redd),292234969
Congratulations,290900312
Freaky Friday (feat. Chris Brown),289448689
Silence,285872863
Finesse (Remix) [feat. Cardi B],285561756
What Lovers Do (feat. SZA),284124228
Vaina Loca,283119227
Flames,281607903
Let You Down,280786270
Promises (with Sam Smith),278502523
HUMBLE.,277220837
lovely (with Khalid),275540908
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",268015011
Yes Indeed,262573256
I Like Me Better,260730994
Feel It Still,258686510
Déjala que vuelva (feat. Manuel Turizo),258320068
Walk It Talk It,257914087
Young Dumb & Broke,256785256
Be Alright,254020486
Say You Won't Let Go,253684177
No Brainer,251078854
I Love It (& Lil Pump),250693085
Candy Paint,245804386
Plug Walk,244489731
Perfect Duet (Ed Sheeran & Beyoncé),242451868
Praise The Lord (Da Shine),239647502
Síguelo Bailando,236288556
Criminal,234867453
Closer,233647118
Something Just Like This,232637167
Ocean (feat. Khalid),227443063
Pray For Me (with Kendrick Lamar),227314201
No Es Justo,226265068
MIA (feat. Drake),224808631
"thank u, next",221920297
Unforgettable,219586873
goosebumps,217304594
Him & I (with Halsey),216377050
