name,streams
Without You (feat. Sandro Cavazza),28833095
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",27863321
Hon dansar vidare i livet,27754612
God's Plan,26408797
Mer för varandra,23322591
Remind Me to Forget,22381491
Better Now,22250775
In My Mind,21132881
Solo (feat. Demi Lovato),20958882
SAD!,20427201
Psycho (feat. Ty Dolla $ign),19947162
Happier,18774614
One Kiss (with Dua Lipa),17346652
Youngblood,17264524
Shuffla,16687817
Be Alright,16632803
Lucid Dreams,16505737
FRIENDS,16504876
All For Love,16379358
Sweet but Psycho,15886270
River (feat. Ed Sheeran),15565885
Everyday,15320738
In My Feelings,15215619
Flames,15112145
Born To Be Yours,14882638
Pari,14765554
Taste (feat. Offset),14601081
EVERY SINGLE DAY,14478810
Perfect,13102128
Be Your Friend,13069507
no tears left to cry,12945393
Helt seriöst,12911759
Girls Like You (feat. Cardi B),12873823
Aqua Aura,12782743
Meant to Be (feat. Florida Georgia Line),12722523
Shape of You,12707448
Roads,12692452
High With Somebody,12574520
Dance You Off,12550934
Toppen av ett berg,12464526
Lonely Together (feat. Rita Ora),12332391
rockstar,12264671
Nevermind,12264089
Havana,12151617
Shallow,12110511
Perfect Duet (Ed Sheeran & Beyoncé),12044388
Like I Do,11882442
Min Diamant,11841274
Still - Recorded at Spotify Studios Stockholm,11798107
IDGAF,11646470
Nice For What,11552712
Échame La Culpa,11419278
Feel It Still,11384612
Eastside (with Halsey & Khalid),11264747
Större,11199653
More Than You Know,11139966
The Middle,11003925
All The Stars (with SZA),10929700
Jocelyn Flores,10897018
Wake Me Up - Radio Edit,10732393
All Falls Down (feat. Juliander),10574480
Sand,10416531
Let You Down,10404830
Jackie Chan,10403336
I Like It,10380151
Ignite (feat. SEUNGRI),10357842
I Fall Apart,10348235
Rise,10344539
Promises (with Sam Smith),10213560
Levels - Radio Edit,10035709
Positiv,10027143
New Rules,10012780
rockstar (feat. 21 Savage),9945402
Love Lies (with Normani),9906215
Dusk Till Dawn - Radio Edit,9620321
Gudarna på Västerbron,9616516
Too Good At Goodbyes,9541168
changes,9510828
Silence,9280014
Auf wiedersehen,9087538
2002,9074883
Whenever (feat. Conor Maynard),9064753
Put Your Hands Up för Sverige (feat. Anis Don Demina),8905573
Blah Blah Blah,8903283
Ocean (feat. Khalid),8789047
Love Someone,8786680
Moonlight,8714860
Thunder,8614479
Wolves,8565092
Mine,8418133
Tror Du Att Han Bryr Sig,8408812
FEFE (feat. Nicki Minaj & Murda Beatz),8317607
Allt e mitt,8316528
Darkside,8243486
Sick Boy,8208392
I Love It (& Lil Pump),8164188
Despacito - Remix,7936058
Say Love,7797430
Dreamer,7778987
Believer,7750900
