,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Jättiläinen,10044553,0.161,0.606,238187.0,0.658,0.0,9.0,0.205,-5.897,1.0,0.104,76.951,4.0,0.276
1,Popkorni,9388879,0.00595,0.75,211789.0,0.737,0.000114,0.0,0.113,-4.89,1.0,0.0723,97.921,4.0,0.354
2,Kevät,8064810,0.0472,0.662,204987.0,0.706,1.27e-06,4.0,0.337,-4.387,0.0,0.0352,148.025,4.0,0.199
3,Rikkinäinen Prinsessa,7933974,0.057,0.538,192488.0,0.878,0.0,11.0,0.295,-4.427,0.0,0.0644,183.998,4.0,0.661
4,Solmussa (feat. BEHM),7887510,0.447,0.65,191321.0,0.672,0.0,2.0,0.285,-5.85,1.0,0.148,115.052,4.0,0.387
5,Solo (feat. Demi Lovato),7831922,0.0441,0.737,222653.0,0.636,6.66e-05,11.0,0.35,-4.546,0.0,0.0437,105.005,4.0,0.565
6,XTC,7749625,0.0229,0.707,499258.0,0.748,0.764,7.0,0.106,-11.086,1.0,0.048,118.023,4.0,0.166
7,Better Now,7367375,0.354,0.68,231267.0,0.563,0.0,10.0,0.136,-5.843,1.0,0.0454,145.028,4.0,0.374
8,SAD!,6801486,0.258,0.74,166606.0,0.613,0.00372,8.0,0.123,-4.88,1.0,0.145,75.023,4.0,0.473
9,Satutat mua,6273910,0.0738,0.699,197561.0,0.69,0.0,0.0,0.371,-4.456,1.0,0.0353,118.875,4.0,0.476
10,Monaco,6247970,0.0754,0.653,227227.0,0.651,0.0,11.0,0.0562,-5.128,1.0,0.0276,99.036,4.0,0.299
11,Lucid Dreams,6025954,0.349,0.511,239836.0,0.566,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,4.0,0.218
12,Supervoimii,5977943,0.0271,0.837,208681.0,0.635,0.0,6.0,0.102,-4.706,1.0,0.063,103.982,4.0,0.681
13,God's Plan,5919988,0.00417,0.54,164533.0,0.855,0.0,11.0,0.341,-4.695,1.0,0.151,133.861,4.0,0.893
14,Sun Vika,5865577,0.228,0.756,190545.0,0.751,0.0,8.0,0.342,-5.6,0.0,0.0281,108.026,4.0,0.962
15,One Kiss (with Dua Lipa),5856309,0.037,0.791,214847.0,0.862,2.19e-05,9.0,0.0814,-3.24,0.0,0.11,123.994,4.0,0.592
16,FRIENDS,5738056,0.205,0.626,202621.0,0.88,0.0,9.0,0.128,-2.384,0.0,0.0504,95.079,4.0,0.534
17,Ignite (feat. SEUNGRI),5691563,,,,,,,,,,,,,
18,Jacuzzi,5571945,0.0927,0.821,184107.0,0.736,0.0,0.0,0.0542,-4.484,0.0,0.0669,93.009,4.0,0.94
19,In My Mind,5455589,0.176,0.694,184560.0,0.77,1.1e-05,6.0,0.118,-5.335,1.0,0.149,125.905,4.0,0.163
20,All For Love,5362746,0.593,0.636,238467.0,0.264,4.22e-05,6.0,0.275,-14.567,0.0,0.0263,99.304,3.0,0.264
21,Flames,5274313,0.0723,0.609,195000.0,0.726,8.45e-06,5.0,0.0895,-4.346,0.0,0.0414,93.958,4.0,0.362
22,Nössö,5203484,0.151,0.79,187183.0,0.917,0.0,4.0,0.197,-1.754,1.0,0.0679,136.051,4.0,0.754
23,Kaksi ihmistä,5160874,0.00902,0.61,237250.0,0.889,0.000145,11.0,0.14,-4.936,1.0,0.0368,124.975,4.0,0.45
24,TEXAS,5125350,0.609,0.742,249120.0,0.454,0.034,8.0,0.1,-8.195,0.0,0.0352,121.128,4.0,0.367
25,no tears left to cry,4993704,0.04,0.699,205920.0,0.713,3.11e-06,9.0,0.294,-5.507,0.0,0.0594,121.993,4.0,0.354
26,Bäng Bäng typerä sydän (feat. eetu),4930622,0.329,0.647,244373.0,0.54,1.21e-05,0.0,0.257,-9.846,0.0,0.0275,119.998,4.0,0.413
27,Hombre (feat. Vesala),4778446,0.0767,0.648,201613.0,0.712,2.21e-06,4.0,0.128,-5.488,0.0,0.0524,123.997,4.0,0.345
28,Does It Matter,4632539,0.0158,0.728,208016.0,0.756,0.0,10.0,0.11,-6.167,0.0,0.0581,126.02,4.0,0.292
29,Sick Boy,4624847,0.106,0.548,193947.0,0.687,0.0,11.0,0.131,-6.371,0.0,0.15,180.017,4.0,0.362
30,"Kynnet, Kynnet",4582395,0.656,0.671,245280.0,0.812,9.26e-05,0.0,0.137,-7.082,1.0,0.112,99.998,4.0,0.281
31,Youngblood,4581254,0.0169,0.596,203418.0,0.854,0.0,7.0,0.124,-5.114,0.0,0.463,120.274,4.0,0.152
32,Psycho (feat. Ty Dolla $ign),4343308,0.58,0.739,221440.0,0.559,0.0,8.0,0.112,-8.011,1.0,0.117,140.124,4.0,0.439
33,Riks Raks Poks,4339107,0.501,0.587,239671.0,0.707,0.000119,7.0,0.319,-5.938,1.0,0.254,177.131,4.0,0.473
34,#ihanaa,4275493,0.107,0.777,220177.0,0.827,0.0,4.0,0.653,-4.19,0.0,0.0536,123.993,4.0,0.588
