name,streams
Jättiläinen,10044553
Popkorni,9388879
Kevät,8064810
Rikkinäinen Prinsessa,7933974
Solmussa (feat. BEHM),7887510
Solo (feat. Demi Lovato),7831922
XTC,7749625
Better Now,7367375
SAD!,6801486
Satutat mua,6273910
Monaco,6247970
Lucid Dreams,6025954
Supervoimii,5977943
God's Plan,5919988
Sun Vika,5865577
One Kiss (with Dua Lipa),5856309
FRIENDS,5738056
Ignite (feat. SEUNGRI),5691563
Jacuzzi,5571945
In My Mind,5455589
All For Love,5362746
Flames,5274313
Nössö,5203484
Kaksi ihmistä,5160874
TEXAS,5125350
no tears left to cry,4993704
Bäng Bäng typerä sydän (feat. eetu),4930622
Hombre (feat. Vesala),4778446
Does It Matter,4632539
Sick Boy,4624847
"Kynnet, Kynnet",4582395
Youngblood,4581254
Psycho (feat. Ty Dolla $ign),4343308
Riks Raks Poks,4339107
#ihanaa,4275493
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",4237588
Like I Do,4233337
Havana,4164582
Esson baariin,4095377
Falling Down - Bonus Track,4085474
Ota varovasti,4048607
Enkelit,4011819
In My Feelings,3992805
River (feat. Ed Sheeran),3986052
Roska silmäs,3877154
IDGAF,3850507
Sweet but Psycho,3826923
rockstar (feat. 21 Savage),3734583
rockstar,3733603
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",3678369
La Cintura,3657118
I Like It,3646399
Mad Love,3643681
Lössi,3633533
Pornoo,3605268
Taste (feat. Offset),3600295
Darkside,3594681
Shape of You,3554009
Girls Like You (feat. Cardi B),3553730
Happier,3535171
Sit ku mä oon vapaa,3512072
Yhen elämän juttu,3509305
Him & I (with Halsey),3502798
Jackie Chan,3493027
Tornado,3440835
Timanttei,3440329
Naapurit Kuulee,3426695
FEFE (feat. Nicki Minaj & Murda Beatz),3399896
Antaudun,3377848
Moonlight,3300241
Nevermind,3268823
Katumuksen sakramentti,3252043
Jocelyn Flores,3238412
Pimeyteen,3211873
Vielä Kerran,3150852
Promises (with Sam Smith),3128362
Diamond Heart,3081914
For You (Fifty Shades Freed) (& Rita Ora),3062862
So Far Away (feat. Jamie Scott & Romy Dya),3058233
Mitä Mä Malagas?,2995289
Mine,2974899
Amor Amor (feat. Cledos),2965539
Väärään suuntaan,2936020
Surulapsi (Vain elämää kausi 7),2915932
Tulla Ja Mennä,2915331
Mulkut - Vain Elämää Kausi 9,2908721
Pakettimatka (feat. Seksikäs-Suklaa & Slim Mill),2899560
Me Ollaan Runo,2882896
Eastside (with Halsey & Khalid),2812849
Believer,2798457
YsäriBoi,2785098
Tää On Se Maa,2777009
Ei suomalaiset tanssi,2749316
Lucky You (feat. Joyner Lucas),2714874
Tempo,2699445
Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],2695432
I Love It (& Lil Pump),2693303
Naarmuja (feat. IBE),2676148
New Rules,2643983
Vedän sut henkeen,2617047
