,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Without You (feat. Sandro Cavazza),28833095,0.0018,0.653,181673.0,0.863,0.0,2.0,0.0406,-4.799,1.0,0.0457,134.004,4.0,0.276
1,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",27863321,0.194,0.653,210773.0,0.809,0.0,0.0,0.165,-4.057,1.0,0.0474,92.213,4.0,0.55
2,Hon dansar vidare i livet,27754612,0.0267,0.655,248893.0,0.651,0.0,8.0,0.133,-7.063,1.0,0.122,90.054,4.0,0.782
3,God's Plan,26408797,0.00417,0.54,164533.0,0.855,0.0,11.0,0.341,-4.695,1.0,0.151,133.861,4.0,0.893
4,Mer för varandra,23322591,0.451,0.665,206000.0,0.656,0.0,6.0,0.105,-7.541,1.0,0.101,85.993,4.0,0.542
5,Remind Me to Forget,22381491,0.193,0.685,217287.0,0.508,0.0,0.0,0.139,-6.4,1.0,0.0987,99.063,4.0,0.315
6,Better Now,22250775,0.354,0.68,231267.0,0.563,0.0,10.0,0.136,-5.843,1.0,0.0454,145.028,4.0,0.374
7,In My Mind,21132881,0.176,0.694,184560.0,0.77,1.1e-05,6.0,0.118,-5.335,1.0,0.149,125.905,4.0,0.163
8,Solo (feat. Demi Lovato),20958882,0.0441,0.737,222653.0,0.636,6.66e-05,11.0,0.35,-4.546,0.0,0.0437,105.005,4.0,0.565
9,SAD!,20427201,0.258,0.74,166606.0,0.613,0.00372,8.0,0.123,-4.88,1.0,0.145,75.023,4.0,0.473
10,Psycho (feat. Ty Dolla $ign),19947162,0.58,0.739,221440.0,0.559,0.0,8.0,0.112,-8.011,1.0,0.117,140.124,4.0,0.439
11,Happier,18774614,0.191,0.687,214290.0,0.792,0.0,5.0,0.167,-2.749,1.0,0.0452,100.015,4.0,0.671
12,One Kiss (with Dua Lipa),17346652,0.037,0.791,214847.0,0.862,2.19e-05,9.0,0.0814,-3.24,0.0,0.11,123.994,4.0,0.592
13,Youngblood,17264524,0.0169,0.596,203418.0,0.854,0.0,7.0,0.124,-5.114,0.0,0.463,120.274,4.0,0.152
14,Shuffla,16687817,0.0107,0.699,184693.0,0.838,0.0,2.0,0.177,-4.648,0.0,0.0653,128.028,4.0,0.602
15,Be Alright,16632803,0.697,0.553,196373.0,0.586,0.0,11.0,0.0813,-6.319,1.0,0.0362,126.684,4.0,0.443
16,Lucid Dreams,16505737,0.349,0.511,239836.0,0.566,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,4.0,0.218
17,FRIENDS,16504876,0.205,0.626,202621.0,0.88,0.0,9.0,0.128,-2.384,0.0,0.0504,95.079,4.0,0.534
18,All For Love,16379358,0.593,0.636,238467.0,0.264,4.22e-05,6.0,0.275,-14.567,0.0,0.0263,99.304,3.0,0.264
19,Sweet but Psycho,15886270,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
20,River (feat. Ed Sheeran),15565885,0.142,0.748,221013.0,0.749,0.0,8.0,0.0713,-5.916,0.0,0.516,90.09,4.0,0.659
21,Everyday,15320738,0.00422,0.383,278947.0,0.914,1.4e-05,9.0,0.444,-6.43,1.0,0.0515,139.955,4.0,0.528
22,In My Feelings,15215619,0.0589,0.835,217925.0,0.626,6e-05,1.0,0.396,-5.833,1.0,0.125,91.03,4.0,0.35
23,Flames,15112145,0.0723,0.609,195000.0,0.726,8.45e-06,5.0,0.0895,-4.346,0.0,0.0414,93.958,4.0,0.362
24,Born To Be Yours,14882638,0.3,0.688,193321.0,0.688,0.0,3.0,0.0982,-5.84,1.0,0.0357,114.011,4.0,0.451
25,Pari,14765554,0.223,0.711,222927.0,0.831,0.0,4.0,0.889,-3.99,0.0,0.23,173.364,4.0,0.788
26,Taste (feat. Offset),14601081,0.0236,0.884,232959.0,0.559,0.0,0.0,0.101,-7.442,1.0,0.12,97.994,4.0,0.342
27,EVERY SINGLE DAY,14478810,0.811,0.658,185200.0,0.226,0.0,11.0,0.104,-9.535,1.0,0.0465,137.017,4.0,0.426
28,Perfect,13102128,0.163,0.599,263400.0,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,3.0,0.168
29,Be Your Friend,13069507,0.0688,0.6,180820.0,0.754,0.0,0.0,0.151,-4.204,1.0,0.0488,128.044,4.0,0.641
30,no tears left to cry,12945393,0.04,0.699,205920.0,0.713,3.11e-06,9.0,0.294,-5.507,0.0,0.0594,121.993,4.0,0.354
31,Helt seriöst,12911759,0.0779,0.617,183260.0,0.652,8.08e-05,10.0,0.1,-5.932,0.0,0.0643,111.151,4.0,0.595
32,Girls Like You (feat. Cardi B),12873823,0.568,0.851,235545.0,0.541,0.0,0.0,0.13,-6.825,1.0,0.0505,124.959,4.0,0.448
33,Aqua Aura,12782743,0.126,0.775,222000.0,0.545,0.0,6.0,0.0817,-8.901,0.0,0.0489,143.964,4.0,0.509
34,Meant to Be (feat. Florida Georgia Line),12722523,0.047,0.643,163870.0,0.783,0.0,10.0,0.083,-6.458,1.0,0.0856,154.084,4.0,0.579
35,Shape of You,12707448,0.581,0.825,233713.0,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,0.931
36,Roads,12692452,0.546,0.255,197813.0,0.43,1.87e-05,9.0,0.188,-12.564,1.0,0.0322,164.267,4.0,0.546
37,High With Somebody,12574520,0.0242,0.785,174666.0,0.644,0.000118,5.0,0.152,-7.856,1.0,0.0813,115.906,4.0,0.789
