name,streams
God's Plan,435750022
SAD!,312037026
Psycho (feat. Ty Dolla $ign),294266203
Lucid Dreams,276449538
Look Alive (feat. Drake),256308671
Nice For What,253947514
Better Now,235882384
In My Feelings,232677347
Moonlight,227465925
I Like It,226716541
I Fall Apart,203844724
Ric Flair Drip (& Metro Boomin),202357402
SICKO MODE,192759116
Yes Indeed,183682122
Jocelyn Flores,181808487
All The Stars (with SZA),179007316
Nonstop,174699606
Mine,173809087
Taste (feat. Offset),169753609
Plug Walk,167318493
Stir Fry,165897431
Meant to Be (feat. Florida Georgia Line),164891813
Love Lies (with Normani),162133083
The Middle,161354579
Fuck Love (feat. Trippie Redd),161234612
FEFE (feat. Nicki Minaj & Murda Beatz),157176942
Walk It Talk It,156169972
Candy Paint,155011027
XO TOUR Llif3,150241727
changes,147637623
"King's Dead (with Kendrick Lamar, Future & James Blake)",143075072
rockstar (feat. 21 Savage),140011903
Mo Bamba,135902831
PICK IT UP (feat. A$AP Rocky),134250448
no tears left to cry,133471628
Girls Like You (feat. Cardi B),132116046
All Girls Are The Same,132055429
Congratulations,130523286
HUMBLE.,127001146
Havana,125097615
Youngblood,124799142
Call Out My Name,122653778
Nowadays (feat. Landon Cube),119087369
JAPAN,118045469
Young Dumb & Broke,117700876
Everybody Dies In Their Nightmares,115974234
Bank Account,112620840
I'm Upset,112221659
goosebumps,111658445
rockstar,111601971
Red Roses (feat. Landon Cube),111160376
LOVE. FEAT. ZACARI.,109702315
BUTTERFLY EFFECT,108769260
Let You Down,108445240
Eastside (with Halsey & Khalid),108365830
Heaven,106379526
Roll In Peace (feat. XXXTENTACION),106374637
Betrayed,105832491
No Limit,104921327
Location,104605873
lovely (with Khalid),104314174
Ball For Me (feat. Nicki Minaj),102679573
Freaky Friday (feat. Chris Brown),101419543
Bartier Cardi (feat. 21 Savage),100314355
Plain Jane,99873049
FRIENDS,99688074
Happier,99629707
This Is America,98978284
Thunder,98084785
Never Be the Same,97206871
OTW,96619288
Finesse (Remix) [feat. Cardi B],96221289
God is a woman,94645425
Unforgettable,94560146
1-800-273-8255,93906561
Bodak Yellow,93453866
Te Boté - Remix,92035863
Narcos,92035746
Bounce Out With That,91896794
MotorSport,89988378
Praise The Lord (Da Shine),89646627
Pray For Me (with Kendrick Lamar),89466679
IDGAF,85889267
Stay,85831678
Lean Wit Me,85674917
the remedy for a broken heart (why am I so in love),85570923
The Way Life Goes (feat. Oh Wonder),85453580
Believer,85334901
I Like Me Better,85294031
Lust,84646882
One Kiss (with Dua Lipa),84513995
"thank u, next",84393842
Jackie Chan,83953376
ZEZE (feat. Travis Scott & Offset),83943265
Tequila,83781311
STARGAZING,83474815
I Love It (& Lil Pump),83431716
Drip Too Hard (Lil Baby & Gunna),82787258
Perfect,82667027
KOD,78751580
