,Track Name,Streams
0,Shape of You,15490841
1,Despacito - Remix,11610371
2,Antaudun,10907969
3,rockstar,9564494
4,Rahan takii,9162255
5,Hula Hula,8697357
6,Liikaa Sussa Kii,8035425
7,Kylmii Väreitä,7944719
8,Hulluuden Highway,7878016
9,Hanuri (feat. Boyat),7387534
10,More Than You Know,7376921
11,Älä jätä roikkuu,7327331
12,Karjala Takas,7287749
13,Sitä säät mitä tilaat (feat. Ellinoora),7196780
14,Rockabye (feat. Sean Paul & Anne-Marie),6888590
15,Symphony (feat. Zara Larsson),6660576
16,It Ain't Me (with Selena Gomez),6536571
17,Juna,6535813
18,Summer Air,6533851
19,Alone,6352673
20,New Rules,6206513
21,Pettävällä Jäällä - Vain Elämää Kausi 6,6069244
22,Unforgettable,5959581
23,Meidän biisi,5955654
24,Riippumatto,5837595
25,Mask Off,5770138
26,Mä En Kestä,5756912
27,Believer,5738873
28,Tanssi se ulos (feat. Ellinoora),5716202
29,Tornado,5711186
30,Something Just Like This,5710675
31,Dusk Till Dawn - Radio Edit,5701881
32,Scared to Be Lonely,5688778
33,OK,5646190
34,Me Tehtiin Tää,5617127
35,Swalla (feat. Nicki Minaj & Ty Dolla $ign),5585579
36,Havana,5553339
37,Aamukuuteen (feat. Erin),5477147
38,Filmi katkee,5426336
39,Thunder,5399197
40,Attention,5316468
41,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",5306700
42,1-800-273-8255,5146634
43,Mama,5121651
44,2U (feat. Justin Bieber),5079396
45,Despacito (Featuring Daddy Yankee),5040701
46,Vielä kerran (feat. Tommi Läntinen),5036868
47,XO TOUR Llif3,5015654
48,Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],5003479
49,Galway Girl,4950372
50,Sinuhe,4930755
51,Kumiankka,4896414
52,Jokainen kyynel,4849358
53,Keinu (Vain elämää kausi 7),4801980
54,Mixet Tahdo,4798190
55,EYO (feat. Nelli Matula),4782147
56,"Kynnet, Kynnet",4765166
57,California Dreaming (feat. Snoop Dogg & Paul Rey),4739729
58,HUMBLE.,4713959
59,Paris,4633719
60,Satamiljoonaa Kertaa,4629752
61,Silence,4617680
62,Sinä ansaitset kultaa (Vain elämää kausi 7),4560209
63,Kakkuu Järvellä,4536140
64,Sunnuntaisin,4483907
65,Mi Gente,4458360
66,Matti & Teppo,4411948
67,Maailman Laidalla,4365783
68,Hombre (feat. Vesala),4347676
69,SUBEME LA RADIO,4317266
70,Perfect,4311761
71,Taivas ei oo rajana,4289919
72,Neljä Vuodenaikaa,4289106
73,I'm the One,4248235
74,Solo Dance,4216067
75,Timantit on ikuisia (Vain elämää kausi 7),4209740
76,Rakas,4208904
77,Rakkaus On Lumivalkoinen - Vain Elämää Kausi 6,4196918
78,Luonasi,4134383
79,Kymmenen Kirosanaa - Vain Elämää Kausi 6,4119400
80,You Don't Know Me - Radio Edit,4065192
81,Strip That Down,4051374
82,Feels,4013426
83,Castle on the Hill,4011718
84,Congratulations,3994922
85,Tuesday,3901639
86,Pari kilometriä,3818127
87,Miks Ei - Vain Elämää Kausi 6,3810076
88,Kupla,3789374
89,Let You Down,3778047
90,Yhtäccii,3756891
91,Wild Thoughts,3751276
92,Chained To The Rhythm,3731566
93,Mä En Haluu Tietää,3719622
94,Sit Mennää,3619052
95,Loistat Pimeäs,3616196
96,Stay (with Alessia Cara),3603273
97,Pisamat,3587457
98,Turvasana,3569916
99,Muitaki ihmisii,3517375
