,Track Name,Streams
0,Shape of You,1490812208
1,Despacito - Remix,919199404
2,Despacito (Featuring Daddy Yankee),742841612
3,Something Just Like This,692404365
4,Unforgettable,678399824
5,HUMBLE.,662179904
6,I'm the One,636419786
7,rockstar,631519085
8,It Ain't Me (with Selena Gomez),604115906
9,XO TOUR Llif3,593112026
10,That's What I Like,578145330
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",568977260
12,New Rules,561520641
13,Attention,558196021
14,Congratulations,548665856
15,Mi Gente,548413731
16,Thunder,535576648
17,Havana,523137081
18,Stay (with Alessia Cara),521387598
19,Perfect,516722898
20,Mask Off,516695098
21,Paris,515232719
22,Swalla (feat. Nicki Minaj & Ty Dolla $ign),512408555
23,Believer,509418072
24,Me Rehúso,501266859
25,Castle on the Hill,497746717
26,Rockabye (feat. Sean Paul & Anne-Marie),495276995
27,There's Nothing Holdin' Me Back,487068409
28,Say You Won't Let Go,485220496
29,1-800-273-8255,476463930
30,Closer,467772685
31,Symphony (feat. Zara Larsson),466417027
32,Galway Girl,465847741
33,Wild Thoughts,456240919
34,Scared to Be Lonely,453706642
35,Issues,452836975
36,Starboy,450806706
37,I Feel It Coming,446588118
38,Strip That Down,427025647
39,Passionfruit,423688775
40,Feels,420757007
41,2U (feat. Justin Bieber),407397804
42,Felices los 4,405919423
43,Mama,397668093
44,Slide,397202354
45,Location,377369631
46,Silence,371410456
47,More Than You Know,364923868
48,Sorry Not Sorry,364457152
49,Bad and Boujee (feat. Lil Uzi Vert),354321847
50,Call On Me - Ryan Riback Extended Remix,353109634
51,What Lovers Do (feat. SZA),352072090
52,iSpy (feat. Lil Yachty),350351227
53,One Dance,344390704
54,Pretty Girl - Cheat Codes X CADE Remix,331162037
55,Dusk Till Dawn - Radio Edit,330607696
56,Chantaje,329130129
57,Young Dumb & Broke,327573945
58,Redbone,327186660
59,Solo Dance,318789258
60,DNA.,315706571
61,Let Me Love You,314960332
62,Escápate Conmigo,313955029
63,goosebumps,308941274
64,No Promises (feat. Demi Lovato),305362970
65,Bank Account,301513334
66,Slow Hands,299239770
67,24K Magic,298748779
68,I Like Me Better,294495681
69,SUBEME LA RADIO,293418733
70,Fake Love,293411943
71,Glorious (feat. Skylar Grey),290330283
72,Look What You Made Me Do,285892926
73,Friends (with BloodPop®),280913360
74,There for You,279509235
75,Sign of the Times,274012281
76,El Amante,265870556
77,Your Song,260457495
78,Ahora Dice,259113055
79,Gucci Gang,257909914
80,You Don't Know Me - Radio Edit,256308250
81,Photograph,255658845
82,Feel It Still,249631066
83,Bounce Back,246461485
84,Chained To The Rhythm,242736677
85,Butterfly Effect,242159585
86,Otra Vez (feat. J Balvin),241254978
87,Back to You (feat. Bebe Rexha & Digital Farm Animals),238047700
88,Starving,237020441
89,"How Far I'll Go - From ""Moana""",235928513
90,Wolves,235382038
91,Don't Wanna Know,235249800
92,Let You Down,233420700
93,Bonita,232592776
94,Happier,231282754
95,Thinking Out Loud,230017277
96,LOVE. FEAT. ZACARI.,229412947
97,Body Like A Back Road,229063068
98,Malibu,228651444
99,Don't Let Me Down,227787241
