,Track Name,Streams
0,Shape of You,63869649
1,Despacito - Remix,49631835
2,Something Just Like This,34080940
3,More Than You Know,31980308
4,Symphony (feat. Zara Larsson),31068787
5,It Ain't Me (with Selena Gomez),30985696
6,Jag trodde änglarna fanns,28551599
7,Perfect,26765244
8,Solo Dance,26752752
9,Unforgettable,26646541
10,Helt seriöst,26576884
11,rockstar,26457253
12,Castle on the Hill,25876662
13,All I Need,25165993
14,I'm the One,25165206
15,Without You (feat. Sandro Cavazza),24774145
16,Galway Girl,24624719
17,Thunder,23968589
18,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",23938210
19,Scared to Be Lonely,23361297
20,"How Far I'll Go - From ""Moana""",21788476
21,Tårarna i halsen,21775035
22,Issues,21696098
23,Pretty Girl - Cheat Codes X CADE Remix,21327203
24,Mama,20800206
25,Rockabye (feat. Sean Paul & Anne-Marie),20560479
26,Despacito (Featuring Daddy Yankee),20331521
27,Dusk Till Dawn - Radio Edit,20203032
28,Silence,19620152
29,Tuesday,19455307
30,Swalla (feat. Nicki Minaj & Ty Dolla $ign),19294250
31,Say You Won't Let Go,19251466
32,2U (feat. Justin Bieber),18968092
33,Paris,18793329
34,OK,18781599
35,Attention,18596307
36,Call On Me - Ryan Riback Extended Remix,18453593
37,New Rules,18441482
38,1-800-273-8255,18395270
39,First Time,17209858
40,Lonely Together (feat. Rita Ora),17204955
41,As I Lay Me Down,17202121
42,Believer,17161626
43,Mask Off,17161601
44,Stay (with Alessia Cara),16879381
45,Summer Air,16716001
46,There's Nothing Holdin' Me Back,16521829
47,Mi Gente,16424340
48,I Feel It Coming,16367192
49,Wild Thoughts,16353029
50,Happier,16086962
51,Friday Night,15827677
52,You Don't Know Me - Radio Edit,15647688
53,XO TOUR Llif3,15082855
54,I Love You,14965771
55,Only You,14887176
56,Let You Down,14882858
57,SUBEME LA RADIO,14769374
58,Gift,14573674
59,5 fine frøkner,14343257
60,Gråzon,14331893
61,I Can´t Go On,14263400
62,Rich Love (with Seeb),14077597
63,HUMBLE.,14003369
64,My Addiction,13957901
65,Havana,13767669
66,Friends (with BloodPop®),13335648
67,Stargazing,13181363
68,Mandy Moore,13097811
69,What Lovers Do (feat. SZA),13070798
70,All Night,12850996
71,Congratulations,12797184
72,Strip That Down,12173807
73,Starboy,11972673
74,It's Gotta Be You,11959027
75,Feels,11900995
76,Alone,11850226
77,Glorious (feat. Skylar Grey),11723679
78,Hunter,11697906
79,Chained To The Rhythm,11645708
80,Hum With Me,11526182
81,Your Song,11491331
82,Hold On - D&B Version,11455600
83,Rocket (feat. NEIKED),11148057
84,Nån Annan,10901370
85,Ja må du leva,10856210
86,Tired,10791449
87,Too Good At Goodbyes - Edit,10768866
88,Let Me Love You,10642677
89,Pari,10603882
90,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",10570159
91,I Like Me Better,10530957
92,Think Before I Talk,10400232
93,Closer,10309240
94,Bara Få Va Mig Själv,9946512
95,No Promises (feat. Demi Lovato),9812307
96,Passionfruit,9782512
97,I Can't Fall in Love Without You,9713254
98,Slide,9138112
99,Säg nåt som får mig att stanna,9063718
