,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Shape of You,15490841,0.581,0.825,233713.0,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,0.931
1,Despacito - Remix,11610371,0.228,0.653,228827.0,0.816,0.0,2.0,0.0967,-4.353,1.0,0.167,178.086,4.0,0.816
2,Antaudun,10907969,0.617,0.534,196923.0,0.715,0.0,1.0,0.132,-4.556,0.0,0.279,172.083,4.0,0.661
3,rockstar,9564494,0.117,0.587,218147.0,0.535,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,0.14
4,Rahan takii,9162255,0.01,0.746,207523.0,0.779,0.0,7.0,0.256,-3.947,0.0,0.0927,123.94,4.0,0.824
5,Hula Hula,8697357,0.0248,0.673,205474.0,0.842,0.0,1.0,0.294,-4.666,1.0,0.039,121.986,4.0,0.509
6,Liikaa Sussa Kii,8035425,0.108,0.632,232948.0,0.706,0.0,4.0,0.161,-4.214,1.0,0.0325,122.922,3.0,0.5
7,Kylmii Väreitä,7944719,0.422,0.579,191611.0,0.787,0.0,4.0,0.329,-3.309,0.0,0.184,167.961,4.0,0.699
8,Hulluuden Highway,7878016,0.0188,0.612,255507.0,0.9,0.00181,4.0,0.377,-5.852,0.0,0.0875,129.9,4.0,0.454
9,Hanuri (feat. Boyat),7387534,,,,,,,,,,,,,
10,More Than You Know,7376921,0.0275,0.646,203000.0,0.741,0.0,5.0,0.312,-4.973,0.0,0.034,123.077,4.0,0.571
11,Älä jätä roikkuu,7327331,0.0498,0.436,233707.0,0.668,0.0,0.0,0.243,-6.158,1.0,0.177,162.607,4.0,0.368
12,Karjala Takas,7287749,0.00535,0.756,221217.0,0.874,0.0,7.0,0.127,-4.212,1.0,0.0316,115.033,4.0,0.604
13,Sitä säät mitä tilaat (feat. Ellinoora),7196780,0.136,0.678,215400.0,0.56,0.000469,8.0,0.114,-6.06,0.0,0.0533,93.129,4.0,0.147
14,Rockabye (feat. Sean Paul & Anne-Marie),6888590,0.406,0.72,251088.0,0.763,0.0,9.0,0.18,-4.068,0.0,0.0523,101.965,4.0,0.742
15,Symphony (feat. Zara Larsson),6660576,0.259,0.707,212459.0,0.629,1.6e-05,0.0,0.138,-4.581,0.0,0.0563,122.863,4.0,0.457
16,It Ain't Me (with Selena Gomez),6536571,0.119,0.64,220781.0,0.533,0.0,0.0,0.0864,-6.596,1.0,0.0706,99.968,4.0,0.515
17,Juna,6535813,0.527,0.793,192183.0,0.929,9.42e-05,11.0,0.266,-4.047,0.0,0.0913,124.988,4.0,0.845
18,Summer Air,6533851,0.0631,0.752,183587.0,0.768,0.0,8.0,0.094,-3.985,1.0,0.0804,101.973,4.0,0.418
19,Alone,6352673,0.118,0.659,183750.0,0.738,0.0,4.0,0.115,-5.072,0.0,0.0477,127.95,4.0,0.481
20,New Rules,6206513,0.00261,0.763,212000.0,0.72,1.11e-05,9.0,0.114,-5.181,0.0,0.0691,116.01,4.0,0.592
21,Pettävällä Jäällä - Vain Elämää Kausi 6,6069244,0.329,0.68,209894.0,0.663,0.0,8.0,0.237,-5.157,0.0,0.0649,111.983,4.0,0.489
22,Unforgettable,5959581,0.0293,0.726,233902.0,0.769,0.0101,6.0,0.104,-5.043,1.0,0.123,97.985,4.0,0.733
