,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Shape of You,1490812208,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
1,Despacito - Remix,919199404,0.228,0.653,228827,0.816,0.0,2,0.0967,-4.353,1,0.167,178.086,4,0.816
2,Despacito (Featuring Daddy Yankee),742841612,0.208,0.659,228200,0.802,0.0,2,0.123,-4.79,1,0.148,177.936,4,0.863
3,Something Just Like This,692404365,0.0498,0.617,247160,0.635,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,0.446
4,Unforgettable,678399824,0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733
5,HUMBLE.,662179904,0.000282,0.908,177000,0.621,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,0.421
6,I'm the One,636419786,0.55,0.347,201875,0.659,2.41e-06,5,0.192,-5.289,1,0.0717,201.044,4,0.648
7,rockstar,631519085,0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
8,It Ain't Me (with Selena Gomez),604115906,0.119,0.64,220781,0.533,0.0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515
9,XO TOUR Llif3,593112026,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,0.401
10,That's What I Like,578145330,0.00725,0.518,207253,0.933,0.0,10,0.379,-3.837,0,0.107,134.024,4,0.838
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",568977260,0.0631,0.735,245200,0.451,1.3e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862
12,New Rules,561520641,0.00261,0.763,212000,0.72,1.11e-05,9,0.114,-5.181,0,0.0691,116.01,4,0.592
13,Attention,558196021,0.109,0.775,208787,0.613,2.33e-05,3,0.134,-4.586,0,0.0542,100.066,4,0.797
14,Congratulations,548665856,0.215,0.63,220293,0.804,0.0,6,0.253,-4.183,1,0.0363,123.146,4,0.492
15,Mi Gente,548413731,0.0168,0.548,185040,0.704,2.25e-05,11,0.143,-4.838,0,0.0777,104.666,4,0.288
16,Thunder,535576648,0.00671,0.605,187147,0.822,0.134,0,0.147,-4.833,1,0.0438,167.997,4,0.288
17,Havana,523137081,0.184,0.765,217307,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394
18,Stay (with Alessia Cara),521387598,0.253,0.69,210091,0.622,0.0,5,0.116,-5.025,0,0.0622,102.04,4,0.544
19,Perfect,516722898,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
20,Mask Off,516695098,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281
21,Paris,515232719,0.0243,0.646,221520,0.644,0.0,2,0.0888,-6.763,1,0.031,99.999,4,0.251
22,Swalla (feat. Nicki Minaj & Ty Dolla $ign),512408555,0.075,0.696,216409,0.817,0.0,1,0.187,-3.862,1,0.109,98.064,4,0.782
23,Believer,509418072,0.0622,0.776,204347,0.78,0.0,10,0.081,-4.374,0,0.128,124.949,4,0.666
24,Me Rehúso,501266859,0.0231,0.744,205715,0.804,0.0,1,0.0494,-6.327,1,0.0677,104.823,4,0.426
25,Castle on the Hill,497746717,0.0232,0.461,261154,0.834,1.14e-05,2,0.14,-4.868,1,0.0989,135.007,4,0.471
26,Rockabye (feat. Sean Paul & Anne-Marie),495276995,0.406,0.72,251088,0.763,0.0,9,0.18,-4.068,0,0.0523,101.965,4,0.742
27,There's Nothing Holdin' Me Back,487068409,0.228,0.884,202952,0.572,0.0,11,0.0743,-7.288,0,0.0392,122.007,4,0.896
28,Say You Won't Let Go,485220496,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
29,1-800-273-8255,476463930,0.57,0.62,250173,0.574,0.0,5,0.19,-7.788,0,0.0479,100.021,4,0.352
30,Closer,467772685,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
31,Symphony (feat. Zara Larsson),466417027,0.259,0.707,212459,0.629,1.6e-05,0,0.138,-4.581,0,0.0563,122.863,4,0.457
32,Galway Girl,465847741,0.0735,0.624,170827,0.876,0.0,9,0.327,-3.374,1,0.1,99.943,4,0.781
33,Wild Thoughts,456240919,0.0329,0.671,204173,0.672,0.0,0,0.118,-3.094,0,0.0688,97.98,4,0.632
34,Scared to Be Lonely,453706642,0.0895,0.584,220883,0.54,0.0,1,0.261,-7.786,0,0.0576,137.972,4,0.195
35,Issues,452836975,0.39,0.686,176320,0.415,0.0,8,0.0617,-6.855,1,0.0752,114.205,4,0.446
36,Starboy,450806706,0.141,0.678,230453,0.588,6.35e-06,7,0.137,-7.015,1,0.276,186.005,4,0.486
37,I Feel It Coming,446588118,0.426,0.773,269187,0.819,0.0,0,0.0679,-5.946,0,0.118,92.99,4,0.585
38,Strip That Down,427025647,0.22,0.874,204502,0.497,0.0,6,0.0761,-5.484,1,0.0562,106.023,4,0.542
39,Passionfruit,423688775,0.304,0.804,298941,0.459,0.0862,11,0.11,-11.556,1,0.039,111.963,4,0.372
