,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Shape of You,63869649,0.581,0.825,233713.0,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,0.931
1,Despacito - Remix,49631835,0.228,0.653,228827.0,0.816,0.0,2.0,0.0967,-4.353,1.0,0.167,178.086,4.0,0.816
2,Something Just Like This,34080940,0.0498,0.617,247160.0,0.635,1.44e-05,11.0,0.164,-6.769,0.0,0.0317,103.019,4.0,0.446
3,More Than You Know,31980308,0.0275,0.646,203000.0,0.741,0.0,5.0,0.312,-4.973,0.0,0.034,123.077,4.0,0.571
4,Symphony (feat. Zara Larsson),31068787,0.259,0.707,212459.0,0.629,1.6e-05,0.0,0.138,-4.581,0.0,0.0563,122.863,4.0,0.457
5,It Ain't Me (with Selena Gomez),30985696,0.119,0.64,220781.0,0.533,0.0,0.0,0.0864,-6.596,1.0,0.0706,99.968,4.0,0.515
6,Jag trodde änglarna fanns,28551599,0.425,0.604,190463.0,0.892,0.00279,4.0,0.211,-4.55,1.0,0.161,110.026,4.0,0.615
7,Perfect,26765244,0.163,0.599,263400.0,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,3.0,0.168
8,Solo Dance,26752752,0.0485,0.746,174933.0,0.846,0.0,9.0,0.195,-2.432,1.0,0.048,114.955,4.0,0.403
9,Unforgettable,26646541,0.0293,0.726,233902.0,0.769,0.0101,6.0,0.104,-5.043,1.0,0.123,97.985,4.0,0.733
10,Helt seriöst,26576884,0.0779,0.617,183260.0,0.652,8.08e-05,10.0,0.1,-5.932,0.0,0.0643,111.151,4.0,0.595
11,rockstar,26457253,0.117,0.587,218147.0,0.535,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,0.14
12,Castle on the Hill,25876662,0.0232,0.461,261154.0,0.834,1.14e-05,2.0,0.14,-4.868,1.0,0.0989,135.007,4.0,0.471
13,All I Need,25165993,6.96e-05,0.537,249476.0,0.815,0.0864,1.0,0.104,-6.02,1.0,0.0291,114.018,4.0,0.506
14,I'm the One,25165206,0.55,0.347,201875.0,0.659,2.41e-06,5.0,0.192,-5.289,1.0,0.0717,201.044,4.0,0.648
15,Without You (feat. Sandro Cavazza),24774145,0.0018,0.653,181673.0,0.863,0.0,2.0,0.0406,-4.799,1.0,0.0457,134.004,4.0,0.276
16,Galway Girl,24624719,0.0735,0.624,170827.0,0.876,0.0,9.0,0.327,-3.374,1.0,0.1,99.943,4.0,0.781
17,Thunder,23968589,0.00671,0.605,187147.0,0.822,0.134,0.0,0.147,-4.833,1.0,0.0438,167.997,4.0,0.288
18,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",23938210,0.0631,0.735,245200.0,0.451,1.3e-05,0.0,0.325,-8.374,1.0,0.0585,117.973,4.0,0.0862
