,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,HUMBLE.,339677217,0.000282,0.908,177000,0.621,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,0.421
1,XO TOUR Llif3,316206696,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,0.401
2,Congratulations,285451131,0.215,0.63,220293,0.804,0.0,6,0.253,-4.183,1,0.0363,123.146,4,0.492
3,Shape of You,282319891,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
4,Unforgettable,264449000,0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733
5,Mask Off,241828211,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281
6,rockstar,238013267,0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
7,Despacito - Remix,235012075,0.228,0.653,228827,0.816,0.0,2,0.0967,-4.353,1,0.167,178.086,4,0.816
8,iSpy (feat. Lil Yachty),227087919,0.378,0.746,253107,0.653,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672
9,Location,226224851,0.33,0.736,219080,0.449,0.000162,1,0.0898,-11.462,0,0.425,80.126,4,0.326
10,1-800-273-8255,221788327,0.57,0.62,250173,0.574,0.0,5,0.19,-7.788,0,0.0479,100.021,4,0.352
11,Bad and Boujee (feat. Lil Uzi Vert),211518962,0.061,0.927,343150,0.665,0.0,11,0.123,-5.313,1,0.244,127.076,4,0.175
12,That's What I Like,208416179,0.00725,0.518,207253,0.933,0.0,10,0.379,-3.837,0,0.107,134.024,4,0.838
13,I'm the One,206524898,0.55,0.347,201875,0.659,2.41e-06,5,0.192,-5.289,1,0.0717,201.044,4,0.648
14,goosebumps,200660671,0.0847,0.841,243837,0.728,0.0,7,0.149,-3.37,1,0.0484,130.049,4,0.43
15,DNA.,190134671,0.00454,0.638,185947,0.523,0.0,1,0.0842,-6.664,1,0.357,139.913,4,0.422
16,Bounce Back,186239735,0.105,0.77,222360,0.567,0.0,2,0.125,-5.698,1,0.175,81.477,4,0.26
17,Redbone,180679901,0.172,0.745,326933,0.356,0.00943,1,0.123,-10.425,1,0.0941,160.033,4,0.607
18,Bank Account,179650062,0.0151,0.884,220307,0.346,7.04e-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376
